Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
izpoffensiveskills,progression,Attribute,,,,Combat Skills,,,,,,,,,,,,,
izpOffensiveSkillsName,progression,Attribute,,,,Combat Skills,,,,,,,,,,,,,
izpOffensiveSkillsDesc,progression,Attribute,,,,"Combat Skills is the grouping of skills dedicated to killing your enemies directly.",,,,,,,,,,,,,
izputilityskills,progression,Attribute,,,,Utility Skills,,,,,,,,,,,,,
izpUtilitySkillsName,progression,Attribute,,,,Utility Skills,,,,,,,,,,,,,
izpUtilitySkillsDesc,progression,Attribute,,,,"Utility Skills is the grouping of skills dedicated towards helping you acquire resources, improve your body and generally survive.",,,,,,,,,,,,,
izpmeleeperks,progression,Attribute,,,,Melee Perks,,,,,,,,,,,,,
izpMeleePerksName,progression,Attribute,,,,"Melee Perks [Scroll Down To See More]",,,,,,,,,,,,,
izpMeleePerksDesc,progression,Attribute,,,,"Melee Perks is a grouping of abilities, talents and specializations dedicated towards melee combat.",,,,,,,,,,,,,
izprangedperks,progression,Attribute,,,,Ranged Perks,,,,,,,,,,,,,
izpRangedPerksName,progression,Attribute,,,,"Ranged Perks [Scroll Down To See More]",,,,,,,,,,,,,
izpRangedPerksDesc,progression,Attribute,,,,"Ranged Perks is a grouping of abilities, talents and specializations dedicated towards ranged combat.",,,,,,,,,,,,,
izpmentalperks,progression,Attribute,,,,Mental Perks,,,,,,,,,,,,,
izpMentalPerksName,progression,Attribute,,,,Mental Perks,,,,,,,,,,,,,
izpMentalPerksDesc,progression,Attribute,,,,"Mental Perks is a grouping of abilities, talents and specializations related to the brain.",,,,,,,,,,,,,
izpphysicalperks,progression,Attribute,,,,Physical Perks,,,,,,,,,,,,,
izpPhysicalPerksName,progression,Attribute,,,,"Physical Perks [Scroll Down To See More]",,,,,,,,,,,,,
izpPhysicalPerksDesc,progression,Attribute,,,,"Physical Perks is a grouping of abilities, talents and specializations related to your body.",,,,,,,,,,,,,
izpresourceperks,progression,Attribute,,,,Resource Perks,,,,,,,,,,,,,
izpResourcePerksName,progression,Attribute,,,,Resource Perks,,,,,,,,,,,,,
izpResourcePerksDesc,progression,Attribute,,,,"Resource Perks is a grouping of abilities, talents and specializations dedicated to resource collection.",,,,,,,,,,,,,
izpcraftingperks,progression,Attribute,,,,Crafting Perks,,,,,,,,,,,,,
izpCraftingPerksName,progression,Attribute,,,,"Crafting Perks [Scroll Down To See More]",,,,,,,,,,,,,
izpCraftingPerksDesc,progression,Attribute,,,,"Crafting Perks is a grouping of abilities, talents and specializations dedicated to crafting.",,,,,,,,,,,,,
skillMeleeSkills,progression,Skill,,,,Melee Skills,,,,,,,,,,,,,
skillMeleeSkillsDesc,progression,Skill,,,,"Melee Skills is a grouping of skills dedicated towards melee combat. Your damage will improve as you level them up.",,,,,,,,,,,,,
skillMeleeSkillsName,progression,Skill,,,,Melee Skills,,,,,,,,,,,,,
skillRangedSkills,progression,Skill,,,,Ranged Skills,,,,,,,,,,,,,
skillRangedSkillsName,progression,Skill,,,,Ranged Skills,,,,,,,,,,,,,
skillRangedSkillsDesc,progression,Skill,,,,"Ranged Skills is a grouping of skills dedicated towards ranged combat. Your handling and damage will improve as you level them up.",,,,,,,,,,,,,
skillMentalSkills,progression,Skill,,,,Mental Skills,,,,,,,,,,,,,
skillMentalSkillsName,progression,Skill,,,,Mental Skills,,,,,,,,,,,,,
skillMentalSkillDesc,progression,Skill,,,,"Mental Skills is a grouping of skills related to the brain.",,,,,,,,,,,,,
skillPhysicalSkills,progression,Skill,,,,Physical Skills,,,,,,,,,,,,,
